Titulo do imóvel,Tipo,Preço,Valor Condominio,Quartos,Suítes,Área Total,Bairro,Link para o anúncio,Origem
Apartamento No Forte Dos Lagos Para Locação Na Vila Industrial,Residencial,1850,300,2,0,58.0,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-industrial/apartamento-no-forte-dos-lagos-para-locacao-na-vila-industrial--toledo---pr/838194,Imobiliária Giaretta
Apartamento Amplo Para Locação No Edifício Znt Equador,Residencial,1850,0,1,1,90.0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-gisela/apartamento-amplo-para-locacao-no-edificio-znt-equador--jardim-gisela--toledo-pr/873881,Imobiliária Giaretta
Apartamento Novo Para Locação Em Ótima Localização,Residencial,1850,250,1,1,92.0,jardim concordia,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-concordia/apartamento-novo-para-locacao-em-otima-localizacao--jardim-concordia--toledo-pr/541393,Imobiliária Giaretta
Apartamento Com Excelente Localização Para Locação,Residencial,2000,100,2,0,82.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-com-excelente-localizacao-para-locacao--centro--toledo---pr/870208,Imobiliária Giaretta
Casa Moderna Disponível Para Locação No Jardim São Francisco,Residencial,2000,0,2,0,64.0,jardim são francisco,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/jardim-sao-francisco/casa-moderna-disponivel-para-locacao-no-jardim-sao-francisco--toledo-pr/714147,Imobiliária Giaretta
Sobrado Amplo Para Locação Em Excelente Localização,Residencial,2000,0,2,1,104.0,vila becker,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/vila-becker/sobrado-amplo-para-locacao-em-excelente-localizacao--vila-becker--toledo-pr/106221,Imobiliária Giaretta
Apartamento Amplo Para Locação No Edifício Gaivotas,Residencial,2000,380,2,1,111.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao-no-edificio-gaivotas--centro--toledo---pr/431868,Imobiliária Giaretta
Sala Comercial Para Locação,Sala Comercial,2100,400,0,0,49.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao--edificio-corporativo-taipas--centro--toledo---pr/861855,Imobiliária Giaretta
Sobrado Amplo Para Locação Em Ótima Localização,Residencial,2200,0,2,1,110.0,jardim bressan,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-bressan/sobrado-amplo-para-locacao-em-otima-localizacao--jardim-bressan--toledo-pr/422690,Imobiliária Giaretta
Apartamento Amplo Para Locação Residencial Porto Belo,Residencial,2200,300,1,1,109.0,jardim pancera,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-pancera/apartamento-amplo-para-locacao-residencial-porto-belo--jardim-pancera--toledo-pr/876362,Imobiliária Giaretta
Apartamento Para Locação No Ed. Znt Borges De Medeiros,Residencial,2200,300,1,1,114.0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-gisela/apartamento-para-locacao-no-ed--znt-borges-de-medeiros--jardim-gisela--toledo-pr/861633,Imobiliária Giaretta
Sala Comercial Para Locação,Sala Comercial,2390,400,0,0,37.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao--centro--toledo---pr-no-edificio-coorporativo-taipas/832013,Imobiliária Giaretta
Sala Comercial Para Locação,Sala Comercial,2390,320,0,0,37.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao--centro--toledo---pr-no-edificio-coorporativo-taipas/832015,Imobiliária Giaretta
Apartamento Para Locação No Edifício Portal Do Lago,Residencial,2390,350,2,1,100.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-para-locacao-no-edificio-portal-do-lago--centro--toledo---pr/749174,Imobiliária Giaretta
Sala Comercial No Corporativo Taipas,Sala Comercial,2390,400,0,0,49.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-no-corporativo-taipas--centro-de-toledo---pr/557218,Imobiliária Giaretta
Sala Comercial Para Locação,Sala Comercial,2400,0,0,0,20.0,jardim la salle,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-la-salle/sala-comercial-para-locacao--clinica-biocentro--jardim-la-salle--toledo---pr/458098,Imobiliária Giaretta
Apartamento Para Locação,Residencial,2475,350,2,1,142.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-para-locacao--edificio-angelica-centro--toledo---pr/650280,Imobiliária Giaretta
Sala Comercial Em Frente A Prefeitura,Sala Comercial,2490,400,0,0,49.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-em-frente-a-prefeitura--centro--toledo---pr/557219,Imobiliária Giaretta
Apartamento Amplo Para Locação No Znt Industrial,Residencial,2500,550,1,1,90.0,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-industrial/apartamento-amplo-para-locacao-no-znt-industrial--vila-industrial--toledo---pr/876835,Imobiliária Giaretta
Apartamento Para Locação No Edifício Woodville,Residencial,2500,0,1,1,90.0,jardim tocantins,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-tocantins/apartamento-para-locacao-no-edificio-woodville--jardim-tocantins--toledo---pr/862287,Imobiliária Giaretta
Sala Comercial Para Locação No Citta Residence,Sala Comercial,2500,0,0,0,14.0,jardim tocantins,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-tocantins/sala-comercial-para-locacao-no-citta-residence--jardim-tocantins--toledo---pr/861530,Imobiliária Giaretta
Sobrado Amplo Para Locação Em Ótima Localização No Jardim Coopagro,Residencial,2500,0,2,1,110.0,jardim coopagro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-coopagro/sobrado-amplo-para-locacao-em-otima-localizacao-no-jardim-coopagro--toledo---pr/861808,Imobiliária Giaretta
Sala Comercial Para Locação No Citta Residence,Sala Comercial,2500,0,0,0,14.0,jardim tocantins,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-tocantins/sala-comercial-para-locacao-no-citta-residence--jardim-tocantins--toledo---pr/861574,Imobiliária Giaretta
Apartamento Para Locação No Edifício Vitallity,Residencial,2500,300,0,1,96.0,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-industrial/apartamento-para-locacao-no-edificio-vitallity--vila-industrial--toledo-pr/826251,Imobiliária Giaretta
Apartamento Para Locação No Edifício Woodville,Residencial,2500,0,1,1,90.0,jardim tocantins,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-tocantins/apartamento-para-locacao-no-edificio-woodville--jardim-tocantins--toledo---pr/862367,Imobiliária Giaretta
Sala Comercial Para Locação No Jardim Santa Maria,Sala Comercial,2500,0,0,0,10.0,jardim santa maria,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-santa-maria/sala-comercial-para-locacao-no-jardim-santa-maria--toledo---pr/806082,Imobiliária Giaretta
Sobrado Amplo Para Locação No Jardim Pancera Em Toledo-Pr,Residencial,2550,0,3,1,115.0,jardim pancera,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-pancera/sobrado-amplo-para-locacao-no-jardim-pancera-em-toledo-pr/865269,Imobiliária Giaretta
Apartamento Amplo Para Locação No Edifício Dona Adelina,Residencial,2600,380,2,1,151.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao-no-edificio-dona-adelina--centro--toledo---pr/664405,Imobiliária Giaretta
Sobrado Amplo Em Excelente Localização Para Locação,Residencial,2600,0,2,1,96.0,jardim parizotto,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-parizotto/sobrado-amplo-em-excelente-localizacao-para-locacao--jardim-parizotto--toledo-pr/838087,Imobiliária Giaretta
Sala Comercial Para Locação No Camelódromo,Sala Comercial,2640,0,0,0,25.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao-no-camelodromo--centro--toledo---pr/641203,Imobiliária Giaretta
Apartamento Para Locação No Edifício Celestial,Residencial,2680,300,1,1,110.0,jardim tocantins,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-tocantins/apartamento-para-locacao-no-edificio-celestial--jardim-tocantins--toledo---pr/374945,Imobiliária Giaretta
Apartamento Semi Mobiliado Para Locação,Residencial,2700,450,1,1,100.0,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-industrial/apartamento-semi-mobiliado-para-locacao--vila-industrial--toledo---pr/860753,Imobiliária Giaretta
Apartamento Para Locação No Residencial Bella Luna,Residencial,2700,480,1,1,129.0,jardim la salle,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-la-salle/apartamento-para-locacao-no-residencial-bella-luna--jardim-la-salle--toledo---pr/580469,Imobiliária Giaretta
Sala Comercial Nova Disponível Para Locação Na Vila Pioneiro,Sala Comercial,2700,0,0,0,100.0,vila pioneiro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/vila-pioneiro/sala-comercial-nova-disponivel-para-locacao-na-vila-pioneiro--toledo---pr/777403,Imobiliária Giaretta
Sala Comercial Nova Disponível Para Locação No Jardim Panorama,Sala Comercial,2700,0,0,0,100.0,jardim panorama,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-panorama/sala-comercial-nova-disponivel-para-locacao-no-jardim-panorama--toledo---pr/777424,Imobiliária Giaretta
Apartamento Amplo Para Locação,Residencial,2700,500,2,1,147.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao--edificio-verdes-campos--centro--toledo---pr/869365,Imobiliária Giaretta
Sala Comercial Para Locação,Sala Comercial,2770,400,0,0,49.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao--centro--toledo---pr-no-edificio-coorporativo-taipas/832016,Imobiliária Giaretta
Sala Comercial Para Locação,Sala Comercial,2790,400,0,0,49.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao--edificio-corporativo-taipas--centro--toledo---pr/861857,Imobiliária Giaretta
Apartamento Amplo Para Locação Em Ótima Localização,Residencial,2800,0,3,1,203.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao-em-otima-localizacao--centro--toledo---pr/842879,Imobiliária Giaretta
Sala Comercial Para Locação No Jardim Santa Maria,Sala Comercial,2800,0,0,0,10.0,jardim santa maria,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-santa-maria/sala-comercial-para-locacao-no-jardim-santa-maria--toledo---pr/812454,Imobiliária Giaretta
Sala Comercial Para Locação No Jardim Santa Maria,Sala Comercial,2800,0,0,0,12.0,jardim santa maria,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-santa-maria/sala-comercial-para-locacao-no-jardim-santa-maria--toledo---pr/812457,Imobiliária Giaretta
Sobrado Com Excelente Localização Para Locação,Residencial,2800,0,2,1,120.0,jardim concordia,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-concordia/sobrado-com-excelente-localizacao-para-locacao--jardim-concordia--toledo---pr/594406,Imobiliária Giaretta
Sobrado Amplo Disponível Para Locação No Jardim Concórdia,Residencial,2800,0,2,1,160.0,jardim concordia,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-concordia/sobrado-amplo-disponivel-para-locacao-no-jardim-concordia--toledo---pr/94950,Imobiliária Giaretta
Apartamento Amplo Para Locação Em Excelente Localização,Residencial,2900,0,2,1,120.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao-em-excelente-localizacao--centro--toledo---pr/852562,Imobiliária Giaretta
Apartamento Amplo Para Locação No Jardim Concórdia,Residencial,2990,0,2,1,140.0,jardim concordia,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-concordia/apartamento-amplo-para-locacao-no-jardim-concordia--toledo---pr/839426,Imobiliária Giaretta
Apartamento Para Locação Em Ótima Localização,Residencial,3000,0,2,1,130.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-para-locacao-em-otima-localizacao--centro--toledo---pr/818503,Imobiliária Giaretta
Casa Ampla Para Locação Em Excelente Localização,Residencial,3000,0,2,1,127.0,novo sobradinho,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/novo-sobradinho/casa-ampla-para-locacao-em-excelente-localizacao--novo-sobradinho--toledo---pr/860264,Imobiliária Giaretta
Casa Nova Para Locação Em Excelente Localização Na Vila Industrial,Residencial,3100,0,2,1,96.0,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/vila-industrial/casa-nova-para-locacao-em-excelente-localizacao-na-vila-industrial--toledo---pr/869516,Imobiliária Giaretta
Sala Comercial Disponível Para Locação Na Vila Operária,Sala Comercial,3200,0,0,0,76.0,vila operaria,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/vila-operaria/sala-comercial-disponivel-para-locacao-na-vila-operaria--toledo---pr/775719,Imobiliária Giaretta
Sala Comercial Disponível Para Locação Na Vila Operária,Sala Comercial,3200,0,0,0,80.0,vila operaria,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/vila-operaria/sala-comercial-disponivel-para-locacao-na-vila-operaria--toledo---pr/775742,Imobiliária Giaretta
Sobrado Amplo Para Locação Em Excelente Localização,Residencial,3350,0,0,3,138.0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-gisela/sobrado-amplo-para-locacao-em-excelente-localizacao--jardim-gisela--toledo---pr/862177,Imobiliária Giaretta
Apartamento Amplo Para Locação Em Excelente Localização,Residencial,3500,450,2,1,182.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao-em-excelente-localizacao--centro--toledo---pr/809369,Imobiliária Giaretta
Casa Semi-Mobiliada Para Locação Em Ótima Localização,Residencial,3500,0,2,1,30.0,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/vila-industrial/casa-semi-mobiliada-para-locacao-em-otima-localizacao--vila-industrial-toledo-pr/839325,Imobiliária Giaretta
Sala Comercial Para Locação Com Ótima Localização No Centro,Sala Comercial,3500,0,0,0,90.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao-com-otima-localizacao-no-centro--toledo---pr/439988,Imobiliária Giaretta
Apartamento Amplo Para Locação No Jardim Porto Alegre,Residencial,3500,0,1,2,245.0,jardim porto alegre,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-porto-alegre/apartamento-amplo-para-locacao-no-jardim-porto-alegre--toledo---pr/831170,Imobiliária Giaretta
Sobrado Amplo Para Locação No Jardim Gisela,Residencial,3600,0,2,1,146.0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-gisela/sobrado-amplo-para-locacao-no-jardim-gisela--toledo---pr/845460,Imobiliária Giaretta
Sobrado Amplo Para Locação Em Ótima Localização No Jardim Gisela,Residencial,3700,0,2,1,134.0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-gisela/sobrado-amplo-para-locacao-em-otima-localizacao-no-jardim-gisela--toledo-pr/876293,Imobiliária Giaretta
Sala Comercial Ampla Para Locação Em Excelente Localização,Sala Comercial,3900,0,0,0,62.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-ampla-para-locacao-em-excelente-localizacao--centro--toledo---pr/838336,Imobiliária Giaretta
Sala Comercial Com Excelente Localização Para Locação,Sala Comercial,4000,0,0,0,215.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-com-excelente-localizacao-para-locacao--centro--toledo---pr/576466,Imobiliária Giaretta
Apartamento Para Locação Em Ótima Localização,Residencial,4300,0,2,1,130.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-para-locacao-em-otima-localizacao--centro--toledo---pr/767780,Imobiliária Giaretta
Casa Comercial Para Locação Em Excelente Localização,Sala Comercial,4400,0,3,1,267.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/centro/casa-comercial-para-locacao-em-excelente-localizacao--centro--toledo---pr/789283,Imobiliária Giaretta
Casa Com Píscina Aquecida  Para Locação,Residencial,4400,0,2,1,300.0,jardim pancera,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/jardim-pancera/casa-com-piscina-aquecida--para-locacao--jardim-pancera--toledo---pr/351544,Imobiliária Giaretta
Sala Comercial Ampla Para Locação Em Ótima Localização,Sala Comercial,4400,0,0,0,110.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-ampla-para-locacao-em-otima-localizacao--centro--toledo---pr/810401,Imobiliária Giaretta
Casa Ampla Para Locação Em Excelente Localização Na Vila Industrial,Residencial,4500,0,2,1,160.0,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/vila-industrial/casa-ampla-para-locacao-em-excelente-localizacao-na-vila-industrial--toledo---pr/862473,Imobiliária Giaretta
Barracão Com 300M  Para Locação,Barracão,4500,0,0,0,300.0,jardim coopagro,https://www.imobiliariagiaretta.com.br/imovel/locacao/barracao/toledo/jardim-coopagro/barracao-com-300m--para-locacao--jardim-coopagro--toledo---pr/812997,Imobiliária Giaretta
Apartamento Mobiliado Com 03 Dormitórios,Residencial,4500,500,2,1,170.0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-gisela/apartamento-mobiliado-com-03-dormitorios--locacao--jardim-gisela--toledo---pr/824825,Imobiliária Giaretta
Sala Comercial Ampla Para Locação No Edifício Atlântico,Sala Comercial,4600,0,0,0,135.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-ampla-para-locacao-no-edificio-atlantico--centro--toledo-pr/870975,Imobiliária Giaretta
Sala Comercial Ampla No Edifício Corporativo Taipas,Sala Comercial,4700,800,0,0,98.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-ampla-no-edificio-corporativo-taipas--centro--toledo---pr/852168,Imobiliária Giaretta
Sala Comercial Com Mezanino Para Locação,Sala Comercial,4900,0,0,0,160.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-com-mezanino-para-locacao--centro--toledo---pr/805645,Imobiliária Giaretta
Apartamento Semi Mobiliado No Edifício Vancouver Para Locação,Residencial,4950,450,0,3,130.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-semi-mobiliado-no-edificio-vancouver-para-locacao--centro--toledo-pr/847878,Imobiliária Giaretta
Sala Comercial Para Locação Em Excelente Localização,Sala Comercial,5000,100,0,0,32.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao-em-excelente-localizacao--centro--toledo---pr/820520,Imobiliária Giaretta
Sala Comercial Para Locação Em Excelente Localização,Sala Comercial,5000,100,0,0,32.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao-em-excelente-localizacao--centro--toledo---pr/820529,Imobiliária Giaretta
Casa Para Locação Em Excelente Localização No Jardim Tocantins,Residencial,5000,0,2,1,184.0,jardim tocantins,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/jardim-tocantins/casa-para-locacao-em-excelente-localizacao-no-jardim-tocantins--toledo---pr/842320,Imobiliária Giaretta
Sala Comercial Para Locação Em Excelente Localização,Sala Comercial,5000,100,0,0,32.0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao-em-excelente-localizacao--centro--toledo---pr/815239,Imobiliária Giaretta
